datetime,ice_null_GLM,ice_01_GLM,ice_05_GLM,ice_1_GLM,ice_15_GLM,ice_2_GLM,ice_25_GLM,ice_3_GLM,ice_35_GLM,ice_4_GLM,ice_45_GLM,ice_5_GLM,ice_10_GLM,id
2002-01-21,0.192261502146721,0.192492619156837,0.18360136449337,0.181355640292168,0.177431955933571,0.172749027609825,0.178196847438812,0.176428288221359,0.175958096981049,0.174714103341103,0.17518824338913,0.175008311867714,0.173713162541389,mendota
2002-01-22,0.192634418606758,0.193152666091919,0.183207511901855,0.180517196655273,0.176859781146049,0.172051474452019,0.177859470248222,0.176108136773109,0.1754150390625,0.174147397279739,0.174801856279373,0.1746646463871,0.173629656434059,mendota
2002-01-23,0.195701524615288,0.19642086327076,0.185845747590065,0.18299312889576,0.179524645209312,0.174486175179482,0.180667012929916,0.178960576653481,0.17807848751545,0.17674446105957,0.177536398172379,0.177433460950851,0.175274074077606,mendota
2002-01-24,0.196478769183159,0.197434738278389,0.186178520321846,0.183288305997849,0.179882198572159,0.174607634544373,0.181274011731148,0.179537385702133,0.178470075130463,0.177049458026886,0.177973136305809,0.177923068404198,0.174838289618492,mendota
2002-01-25,0.200453147292137,0.201630398631096,0.189856514334679,0.186963945627213,0.183652743697166,0.178142055869102,0.185212731361389,0.183493584394455,0.182281583547592,0.180769816040993,0.181810826063156,0.181806340813637,0.17824187874794,mendota
2002-01-26,0.203482508659363,0.204744800925255,0.192674845457077,0.189836263656616,0.186560943722725,0.180967435240746,0.187482744455338,0.184775277972221,0.183737590909004,0.182199493050575,0.182969182729721,0.182877838611603,0.179844453930855,mendota
2002-01-27,0.204652264714241,0.206107929348946,0.193567305803299,0.190728455781937,0.187534064054489,0.181746363639832,0.188162416219711,0.184446960687637,0.183585196733475,0.182589501142502,0.182822972536087,0.182899117469788,0.179299801588058,mendota
2002-01-28,0.204870000481606,0.206495761871338,0.193480640649796,0.190617904067039,0.187502577900887,0.181415140628815,0.188148066401482,0.18372143805027,0.182857006788254,0.182456329464912,0.182105705142021,0.182393491268158,0.178062304854393,mendota
2002-01-29,0.203134387731552,0.205020949244499,0.191432029008865,0.18862971663475,0.185587808489799,0.179131701588631,0.186391785740852,0.181233271956444,0.180398285388947,0.180652365088463,0.17967601120472,0.180208653211594,0.175339579582214,mendota
2002-01-30,0.199090585112572,0.201338082551956,0.187072843313217,0.184278562664986,0.181313082575798,0.174280822277069,0.182384967803955,0.176404878497124,0.175559982657433,0.176659241318703,0.17484213411808,0.175707399845123,0.170268550515175,mendota
2002-01-31,0.194630548357964,0.19717463850975,0.182435348629951,0.17974679172039,0.176947295665741,0.169388473033905,0.178224667906761,0.171591743826866,0.170710921287537,0.172557517886162,0.169995784759521,0.17116990685463,0.165275633335114,mendota
2002-02-01,0.19382081925869,0.19656765460968,0.181536510586739,0.178830713033676,0.176144912838936,0.168257251381874,0.17758272588253,0.170474380254745,0.169594094157219,0.17194390296936,0.168900698423386,0.170274257659912,0.164088159799576,mendota
2002-02-02,0.199618756771088,0.202389389276505,0.187475606799126,0.184829488396645,0.182172685861588,0.17432102560997,0.183611884713173,0.176499709486961,0.175642147660255,0.178094565868378,0.174965247511864,0.176375344395638,0.170240685343742,mendota
2002-02-03,0.206291124224663,0.208873838186264,0.194083750247955,0.191504657268524,0.188796743750572,0.181285738945007,0.190071731805801,0.183391019701958,0.182569950819016,0.184619411826134,0.181868121027946,0.183117687702179,0.177251636981964,mendota
2002-02-04,0.213410511612892,0.215895444154739,0.201231732964516,0.198687434196472,0.195814430713654,0.188137173652649,0.195339292287827,0.190743073821068,0.189939692616463,0.190104752779007,0.188087970018387,0.188999846577644,0.183561071753502,mendota
2002-02-05,0.223376855254173,0.225287288427353,0.210376366972923,0.207769736647606,0.204953774809837,0.198179081082344,0.20446789264679,0.200362429022789,0.199680387973785,0.199812084436417,0.198160693049431,0.198952823877335,0.194232136011124,mendota
2002-02-06,0.227320060133934,0.228838875889778,0.21379217505455,0.211412206292152,0.208870097994804,0.202928423881531,0.208524599671364,0.204835221171379,0.204251930117607,0.204458102583885,0.202990487217903,0.203751489520073,0.1996019333601,mendota
2002-02-07,0.229263946413994,0.231082946062088,0.214040577411652,0.211969256401062,0.209832221269608,0.204268053174019,0.209441527724266,0.206105291843414,0.205564543604851,0.205794647336006,0.204473689198494,0.205187976360321,0.201482027769089,mendota
2002-02-08,0.229934453964233,0.23218660056591,0.213291168212891,0.211730435490608,0.209917694330215,0.204392492771149,0.209384128451347,0.206279501318932,0.20565938949585,0.205849409103394,0.204717591404915,0.205289527773857,0.200854301452637,mendota
