datetime,ln_null_GLM,ln_01_GLM,ln_05_GLM,ln_1_GLM,ln_15_GLM,ln_2_GLM,ln_25_GLM,ln_3_GLM,ln_35_GLM,ln_4_GLM,ln_45_GLM,ln_5_GLM,ln_10_GLM,id
2006-07-20,8.63378277780323,9.82906019533339,9.24200666516554,9.96325411980592,8.69073439350606,12.4978098470722,12.3027853943388,10.0094419275192,9.79979234963063,9.59744506266027,10.0369350416605,9.02872481603589,16.6725507454067,mendota
2006-07-21,5.54786064437166,6.27599610793541,5.73047238168455,6.35105786180814,5.52828752375345,8.00738239655081,6.93977706226351,6.37751010099952,6.2769500260163,6.1522157341623,6.41570714840462,5.75726214399439,10.7222723664478,mendota
2006-07-22,10.5730685672759,11.1029981171215,10.563614320473,11.2136432055406,10.6552127956872,14.2146205083717,11.3700357115306,11.5140486802812,11.1860179023538,10.4854716025617,11.3812983901659,10.2222490826126,19.2268263484743,mendota
2006-07-23,20.3315733958357,21.1552902627308,20.314004784991,21.2025857738501,20.5656374961257,27.2453721038496,21.9565171715733,21.1581553523436,21.4365695690692,20.3895408963786,21.7488510699456,19.3364122100677,36.7990930677997,mendota
2006-07-24,2.31459308252472,2.40748159672887,2.33063927434533,2.32366009468912,2.34679948339289,3.11000651283019,2.52808698957935,2.48446333866124,2.44083289494839,2.335282446099,2.50153788198572,2.22325944164468,4.19482276523824,mendota
2006-07-25,2.61312207496856,2.66148595000091,2.67402505106651,2.79716406042376,2.68443993077226,3.27691015006613,2.91607119617583,2.72245524016598,2.72005840691528,2.65243585588658,2.8623664916885,2.437391559463,4.29926338459825,mendota
2006-07-26,10.9487316155311,11.0698428971788,10.973722651173,11.5624179774211,11.0788825470013,13.5876265428505,12.1894114341394,11.1062219026321,11.2141268610336,10.9580680910255,11.4877889739319,9.80364265534312,17.9355114620336,mendota
2006-07-27,62.5878335571769,63.4905017155868,63.2624134072529,66.0656044899996,63.5553012895824,77.6106720762754,70.7239174974717,62.7410778982096,64.1605299539683,62.9427222537423,65.7637867254051,55.5137820678235,103.504192892965,mendota
2006-07-28,12.1912345421069,12.4640043044484,12.1234246148677,12.6705954969271,12.452378045463,15.2579773009511,13.8628875502436,12.2635399501814,12.5520867066233,12.3301215133158,12.8634527934386,10.8554673000048,20.3406019802242,mendota
2006-07-29,11.7003315245525,11.9139152663661,11.6886260789608,12.0101774014653,12.0411886431373,14.2626304122392,13.105632808069,11.9141143076047,12.1779839068782,11.8925708480207,12.3971867354211,10.5877346910689,19.7724991290141,mendota
2006-07-30,8.58976961743329,8.7904019488532,8.42319606844238,8.75366793430723,8.80025584163332,10.5451496843385,9.57253346030464,8.63846983273507,8.92343691771885,8.72692764421505,9.08208251151118,7.63227325791303,14.5632821300607,mendota
2006-07-31,2.93660546995607,3.0088556866529,2.7212960801756,2.9748638705258,2.98615936889501,3.59395808010623,3.21442406315137,2.92714255381732,2.98054278197079,2.89115891900654,3.04177808939137,2.59092350438248,4.81702002876175,mendota
2006-08-01,5.76340976558263,5.95000571363049,5.34949403844355,5.878965364439,5.92740452652602,6.96710284738339,6.40444629853052,5.79421633175438,5.90530805457061,5.7795873307704,6.06502807426479,5.09989589497939,6.63913873610019,mendota
2006-08-02,3.25529783106417,3.3466227889525,3.0200008158978,3.32350393082427,3.35267119641601,3.95109889231865,3.62082867672629,3.27257233259721,3.35235349916803,3.27797859813877,3.43263749709215,2.8732831675112,5.49124320081445,mendota
2006-08-03,12.4860038632964,12.1013250964576,11.6030450630175,12.7450731724847,12.8211538097477,14.6337594870418,15.1546872508191,11.9852353095409,13.0718511050015,12.2032336576027,12.7499521883247,10.0970689689154,14.728612131282,mendota
2006-08-04,25.0221225797016,24.8273488889492,23.419919884832,25.6005397585424,25.8591456772848,29.667085295421,30.4912214858736,24.3857336976472,26.4199844363278,24.6576203642847,25.8626518076071,21.5964955456259,29.8241191248594,mendota
2006-08-05,8.42796588609658,8.54158588311577,8.16178412417202,8.63282230580391,8.74353587256359,10.0942530345925,10.3342751553214,8.5447539475548,8.94623595663854,8.39838978888825,8.78905662935789,7.56353995396067,10.1372365416855,mendota
2006-08-06,6.11683507931906,6.40772164039736,6.25506579140832,6.38052151817397,6.50507932213564,7.44461977448922,7.60865689756941,6.4274097084529,6.70043713018769,6.25039849397003,6.63147967122884,5.76028222662296,11.0706623714432,mendota
2006-08-07,11.7362498302861,13.2308244833232,12.5018053867175,12.1745844774707,12.9824341995936,14.2783897554048,13.7689454967849,13.000011965551,13.3883634228744,12.4681506379316,12.9880344177911,11.9599793649814,22.1268128097398,mendota
2006-08-08,16.3152625644139,18.0132484303376,17.2769668897922,17.0041339598201,17.8075552382863,19.5538748528586,18.7947849515699,17.906303983628,18.3744485243097,17.1128611895286,17.8629603384267,16.490707610826,20.8353674689705,mendota
2006-08-09,17.6358988158007,19.4139374910794,18.4466384553991,18.0711667779294,18.8285857174927,20.8588377417952,19.9046082324658,19.061477537443,19.4491949078506,18.2103823729105,18.9206343931409,17.5969026043925,22.0744164029152,mendota
2006-08-10,9.69326419332386,10.6515023595789,10.0834036616331,9.89960478885691,10.2630533488564,11.4574364442011,10.8855901143072,10.4325222491841,10.6102070671692,9.88838749091003,10.3286776027622,9.6541473309109,12.0543404033161,mendota
2006-08-11,7.17362830326616,7.703105311929,7.36346755605579,7.2517665758031,7.43490166718454,8.82178441658126,9.12864997682501,7.57785591848363,7.37657540517281,7.29516004252393,7.47649456952231,7.02195664715031,8.749135331523,mendota
2006-08-12,9.3292320908194,9.81579805333413,9.33482139254479,9.23065481116914,9.62953901804381,11.2223615920329,10.4904333036651,9.80483975765292,9.77704581467035,9.48884735389326,9.57677114176875,8.95110942877649,11.2525455167702,mendota
