datetime,ln_null_GOTM,ln_01_GOTM,ln_05_GOTM,ln_1_GOTM,ln_15_GOTM,ln_2_GOTM,ln_25_GOTM,ln_3_GOTM,ln_35_GOTM,ln_4_GOTM,ln_45_GOTM,ln_5_GOTM,ln_10_GOTM,id
1995-06-13,3.77987362936698,3.78457782644769,3.77604225986327,3.77039578649012,3.76328864460366,3.75513241549881,3.75128591015016,3.75471162294372,3.75804997134143,3.76045239785587,3.76295110753159,3.76544917752691,3.80053549871408,mendota
1995-06-14,8.99056916033433,9.00135696194778,8.98411732348684,8.97331131332996,8.95905680785618,8.94261280743016,8.93565057591224,8.9441549486591,8.95231095539851,8.95800038200996,8.96095063784369,8.96340946913583,9.01253093835995,mendota
1995-06-15,2.45665128667533,2.45941477040403,2.45495803110327,2.45216124161622,2.44845897563944,2.4441170656969,2.44215320348754,2.44406058651111,2.44580070372807,2.44720680001405,2.44853231021036,2.44964830333314,2.44607001430379,mendota
1995-06-16,1.08530459156529,1.08666620403339,1.08507042111311,1.08435766230035,1.08325804441616,1.08182718303902,1.08158428657677,1.08321859380595,1.08492507583033,1.08638444518101,1.08788458360622,1.08936154909915,1.10275869574374,mendota
1995-06-17,1.43812923549665,1.43964051360413,1.43751065690071,1.43633644729168,1.43470528597986,1.43270010591827,1.43205951485743,1.43356543262147,1.43514075524866,1.4364621894735,1.43782491800822,1.43914172170299,1.45792193111639,mendota
1995-06-18,2.31298832274302,2.31529334224802,2.31243183926432,2.3110545163619,2.30901613181978,2.30642441319671,2.30586374239895,2.30843323889761,2.31109889768827,2.31337399594661,2.31568021307056,2.31789317107009,2.3388380195519,mendota
1995-06-19,3.73744186196151,3.74115750704045,3.73654204176534,3.73424965042745,3.7309039858906,3.72665817531286,3.72560819042057,3.7294921179406,3.73350022594313,3.73694463750024,3.74039911803039,3.74364722411765,3.77302369034868,mendota
1995-06-20,7.57894993213805,7.58630794711149,7.57728042778628,7.57285338183118,7.56630921304549,7.55789324278277,7.55570539753859,7.56310890764294,7.57063182045113,7.57714856612544,7.58364706646985,7.58963154819018,7.64262347618622,mendota
1995-06-21,4.78227457869973,4.7865940255255,4.78145715487602,4.77902517338702,4.77535233187875,4.77057406287412,4.76939115973557,4.77373338242624,4.77810516276984,4.78193134025414,4.78573123186584,4.78919701430051,4.81961516714178,mendota
1995-06-22,8.01400597943045,8.02067066665403,8.01312866239823,8.00977312185203,8.00451320204459,7.99756681520333,7.99603830191153,8.00281231545216,8.00959214314994,8.01556585484345,8.0215043724943,8.02688297935056,8.0739135967215,mendota
1995-06-23,8.71916662556922,8.72608240097781,8.7183874437022,8.7150163606091,8.70968147585834,8.70259826390673,8.70109860567122,8.70811012485685,8.71512310092967,8.72133515109264,8.72747957292412,8.73302834590233,8.78125622147954,mendota
1995-06-24,14.4298359976541,14.4408314140544,14.4291878360816,14.4244169239544,14.4165686148522,14.4059742499466,14.4040725649896,14.415455061377,14.4267606259415,14.4368782493814,14.4468640541174,14.4558867370852,14.5344221670755,mendota
1995-06-25,6.0572037514036,6.06161336510425,6.05709568546171,6.05531728020711,6.05232913125443,6.04824169502363,6.0476008433005,6.05218404139267,6.05675456786871,6.06084500979545,6.06488233503376,6.06852637980561,6.10007870116816,mendota
1995-06-26,4.09239699189261,4.09539349234052,4.09256525542995,4.0916225011864,4.08984435430273,4.08731540458233,4.08703267163335,4.09014376409761,4.09317447188249,4.09887342645233,4.1016021732853,4.10402652209226,4.12475459638677,mendota
1995-06-27,7.31980277705119,7.32495155568344,7.31988536552995,7.31794495627489,7.31460011092831,7.30999362999791,7.30922588977114,7.31428552255158,7.31924563791672,7.32424909070478,7.32866150932908,7.33256197443479,7.36562506163846,mendota
1995-06-28,11.4303662379507,11.4383168167561,11.4309241938345,11.4283636232532,11.4237153425331,11.4172692178843,11.4168241701981,11.4253959989979,11.4340113305902,11.4420656587959,11.4497092046808,11.4566674404629,11.5174723992799,mendota
1995-06-29,8.55271243256299,8.55865068761412,8.55339537222691,8.55171525500912,8.54851586156569,8.54401746038646,8.54391105082017,8.55039797539296,8.55692739336943,8.56300552183491,8.56882603537329,8.57414956235233,8.62109240311637,mendota
