datetime,ssi_null,ssi_01,ssi_05,ssi_1,ssi_15,ssi_2,ssi_25,ssi_3,ssi_35,ssi_4,ssi_45,ssi_5,ssi_10,id
1998-05-24,262.379137648409,290.644511711864,289.524475133255,298.283037367398,298.518680372187,299.607826983178,290.270081328122,291.769926634585,284.904211393318,298.259786825445,289.960766796664,299.107718086297,317.201742349097,mendota
1998-05-25,236.452874881048,265.383064690206,265.374015727857,272.44189910718,272.760160443473,272.398615862553,265.047588246244,265.204575672939,260.075719337033,272.289135415764,264.736076996748,271.807551783655,289.162691661498,mendota
1998-05-26,250.041327470953,279.274683480659,280.248606035636,287.148332924192,285.146947103323,287.051622498502,278.319691044452,279.969065691913,274.0582216082,285.777204154459,279.229638105827,285.801112752355,301.783261380107,mendota
1998-05-27,277.369942868888,305.370238342372,305.156246480772,310.788424464174,312.078136810987,310.941341763225,304.313249386374,306.241384718636,298.794468834892,310.997517090965,306.334798616062,310.715304146781,325.803196616298,mendota
1998-05-28,293.403161856056,326.038328477337,321.191590357631,329.345877796112,331.049377997227,331.22948929012,325.717941329786,326.57858425727,318.997562315666,332.540710329973,323.838302158737,331.503667991278,344.909241480672,mendota
1998-05-29,313.520952632092,362.932788389913,358.526304753138,361.099885022866,352.630462780736,366.502638234144,360.343046511594,351.147574921275,353.175329641003,370.318875603888,347.78587462822,367.833987711912,385.607304672278,mendota
1998-05-30,359.045350874997,403.469214681526,403.960447198978,397.031405087464,398.148441288209,408.631540220788,403.021273974454,396.412334230071,397.256808266637,413.930689553237,391.348477989815,410.120149594652,429.493524304967,mendota
1998-05-31,376.763467997868,421.014216637369,419.729009648483,415.403519287645,413.767921726216,423.024199100004,421.155221105955,413.404727000701,412.985125641149,428.695113824316,409.75263748322,427.165372797636,445.695571987175,mendota
1998-06-01,367.027537097634,427.582639126181,418.885104722092,413.789163720969,410.839698898653,391.483024329337,420.683465552782,411.077135963117,417.717069406492,425.490062708197,416.996021813737,416.322563643421,449.17543150028,mendota
1998-06-02,351.527465482197,402.363791744068,398.056608269508,393.748067690125,392.05372251024,364.030099573144,398.482445499739,392.028190157367,397.104801968085,403.841376567435,393.548842792605,397.617454454016,426.810482927379,mendota
1998-06-03,323.995527578035,357.218512119582,353.631609501812,361.998125374727,363.388962355408,335.209201743277,352.001458068245,365.156131731134,370.909750221813,359.009100885726,351.821010326949,373.631629695257,396.392012269498,mendota
1998-06-04,281.497678705031,311.589609089223,310.941165038779,319.726163278003,322.036847445716,293.379064123207,308.482144817042,321.844354880929,324.31358289228,318.035930721366,310.222736119172,328.498624176761,347.22051480674,mendota
1998-06-05,260.382440262244,288.339139801195,289.050314180841,296.590831912246,298.713296089476,272.982464580576,286.533039757078,297.869783255298,299.574298577698,294.43991764447,288.845728148973,304.928103560456,320.352920087485,mendota
1998-06-06,248.565966805467,276.078899717351,276.639418968845,284.544718424477,286.461223445628,260.883915547945,274.522388363485,284.823512015996,286.308285008993,281.743407248966,276.525546171899,292.434184449061,306.579609799246,mendota
1998-06-07,236.061215163581,262.786214378787,263.219616827964,270.595238187278,272.41354896933,248.25606713518,260.931960049533,270.661050956693,270.917777515235,267.696906476661,263.448181252429,277.730382723562,291.326714727034,mendota
1998-06-08,236.468998591434,263.059614534275,263.032390862789,270.195898257777,271.496564021732,249.215953297621,260.882992374945,270.067864388516,269.031513003022,267.374559273593,263.946930579524,276.545124285714,289.772676779203,mendota
1998-06-09,230.664952696868,257.270291961861,257.118336484276,264.639379235525,265.889685711069,243.647556344807,255.545409656721,264.553324107217,263.779695309599,262.018792299202,257.835673205571,271.007775819525,284.562625053354,mendota
1998-06-10,202.880011406368,235.734385299423,236.03986695005,243.332188864727,243.565875106491,225.004291795898,227.986783090827,241.829239377872,229.594415968417,241.43930985282,238.63748505067,240.492994757809,218.713354879891,mendota
1998-06-11,228.556167694988,261.413349505015,261.553550582684,267.58799317373,267.726353673466,250.082126325417,254.145660977302,267.554747032086,255.725710540394,267.242105959246,263.772948053854,266.168323404781,246.378404082433,mendota
1998-06-12,238.316695914013,272.565889420349,270.40034733663,279.280786338259,279.304573797729,260.753251942849,264.658426219799,278.734414590526,266.417477949786,282.501314864102,275.382042799303,277.475748787569,263.161767465537,mendota
1998-06-13,267.66007183556,303.469732010472,299.24392331922,311.5605343133,308.285505943886,294.51998518573,294.819769974479,309.832907735719,297.171696575584,314.35182285448,308.464458734163,312.593892304514,298.803689384567,mendota
1998-06-14,308.928345908323,344.773019803187,340.873933554716,350.449032096792,349.358195470366,334.602834074422,336.853682564603,350.179814099231,339.393929509577,355.580332980164,349.78625944845,353.934314740127,340.40704112832,mendota
